=== Simulation Movements Log ===
[Sim] Agent: (1.0928534172242832, 3.8658270733346374) | Target: (2.793957881984058, 4.796258780521323) | Action: 0
[Sim] Agent: (0.8034003034241142, 6.331771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 3
[Sim] Agent: (0.8034003034241142, 6.081771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.8034003034241142, 5.831771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.8034003034241142, 5.581771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.8034003034241142, 5.331771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.8034003034241142, 5.081771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.5534003034241142, 5.081771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 2
[Sim] Agent: (0.30340030342411417, 5.081771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 2
[Sim] Agent: (0.30340030342411417, 4.831771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.30340030342411417, 4.581771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 0
[Sim] Agent: (0.5534003034241142, 4.581771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 3
[Sim] Agent: (0.5534003034241142, 4.831771604650653) | Target: (2.922085121338122, 2.500182105033263) | Action: 1
[Sim] Agent: (4.413299267229814, 1.7431495878666354) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (4.413299267229814, 1.9931495878666354) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (4.413299267229814, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (4.413299267229814, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (4.413299267229814, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (4.163299267229814, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (4.163299267229814, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (3.9132992672298137, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (3.9132992672298137, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (4.163299267229814, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 3
[Sim] Agent: (4.163299267229814, 1.9931495878666352) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (3.9132992672298137, 1.9931495878666352) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (3.6632992672298137, 1.9931495878666352) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (3.6632992672298137, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (3.6632992672298137, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (3.4132992672298137, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (3.4132992672298137, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (3.1632992672298137, 2.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (3.1632992672298137, 2.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (3.1632992672298137, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (2.9132992672298137, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (2.9132992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (2.9132992672298137, 3.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (2.9132992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (2.6632992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (2.6632992672298137, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (2.4132992672298137, 2.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (2.4132992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (2.4132992672298137, 3.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (2.1632992672298137, 3.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (2.1632992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 0
[Sim] Agent: (1.9132992672298137, 2.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (1.9132992672298137, 3.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 3.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 3.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 3.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 4.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 4.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 4.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 4.993149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.9132992672298137, 5.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.6632992672298137, 5.243149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (1.6632992672298137, 5.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (1.4132992672298137, 5.493149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 2
[Sim] Agent: (1.4132992672298137, 5.743149587866635) | Target: (1.1497323760092173, 6.104242589067596) | Action: 1
[Sim] Agent: (3.8278180730554716, 3.377159169039014) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (3.8278180730554716, 3.627159169039014) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (3.5778180730554716, 3.627159169039014) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (3.5778180730554716, 3.877159169039014) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (3.3278180730554716, 3.877159169039014) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (3.3278180730554716, 4.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (3.0778180730554716, 4.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (3.0778180730554716, 4.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (3.0778180730554716, 4.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.8278180730554716, 4.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (2.8278180730554716, 4.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.5778180730554716, 4.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (2.5778180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.5778180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.5778180730554716, 5.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.5778180730554716, 5.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.3278180730554716, 5.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (2.3278180730554716, 5.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (2.0778180730554716, 5.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (2.0778180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (2.0778180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (2.3278180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 3
[Sim] Agent: (2.3278180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (2.0778180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (1.8278180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (1.8278180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (1.5778180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (1.5778180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (1.3278180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (1.3278180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (1.0778180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (0.8278180730554716, 5.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (0.8278180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.8278180730554716, 5.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.8278180730554716, 5.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.8278180730554716, 6.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.8278180730554716, 6.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.8278180730554716, 6.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.5778180730554716, 6.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (0.5778180730554716, 6.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (0.3278180730554716, 6.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (0.3278180730554716, 6.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 1
[Sim] Agent: (0.5778180730554716, 6.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 3
[Sim] Agent: (0.5778180730554716, 6.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (0.5778180730554716, 6.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (0.3278180730554716, 6.127159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 2
[Sim] Agent: (0.3278180730554716, 5.877159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (0.3278180730554716, 5.627159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (0.3278180730554716, 5.377159169039015) | Target: (5.0788941593854995, 2.399539495701921) | Action: 0
[Sim] Agent: (1.0763113381031335, 1.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
[Sim] Agent: (1.0763113381031335, 1.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.0763113381031335, 1.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.0763113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.3263113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (1.3263113381031335, 1.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
[Sim] Agent: (1.3263113381031335, 1.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
[Sim] Agent: (1.5763113381031335, 1.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (1.5763113381031335, 1.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.5763113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.5763113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (1.8263113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (1.8263113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
[Sim] Agent: (2.0763113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (2.0763113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.3263113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (2.3263113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
[Sim] Agent: (2.5763113381031335, 2.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (2.5763113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 2.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (2.8263113381031335, 2.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 2.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 3.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 3.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 3.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.5763113381031335, 3.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 2
[Sim] Agent: (2.5763113381031335, 3.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (2.8263113381031335, 3.879327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (2.8263113381031335, 4.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (3.0763113381031335, 4.129327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (3.0763113381031335, 4.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (3.3263113381031335, 4.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (3.3263113381031335, 4.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 1
[Sim] Agent: (3.5763113381031335, 4.629327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 3
[Sim] Agent: (3.5763113381031335, 4.379327793267521) | Target: (4.147377723215803, 4.883775592315666) | Action: 0
